TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G
1691472079414;(08/08/2023)_12/21/19;-48;-42;-43;-28;-28;-45;-47
1691472081467;(08/08/2023)_12/21/21;-50;-43;-44;-27;-28;-45;-47
1691472083406;(08/08/2023)_12/21/23;-50;-46;-44;-29;-28;-41;-49
1691472091449;(08/08/2023)_12/21/31;-48;-43;-43;-28;-28;-50;-49
1691472093470;(08/08/2023)_12/21/33;-51;-44;-44;-28;-28;-44;-50
1691472095496;(08/08/2023)_12/21/35;-55;-42;-43;-28;-28;-44;-51
1691472097639;(08/08/2023)_12/21/37;-52;-45;-43;-28;-28;-44;-50
1691472101504;(08/08/2023)_12/21/41;-50;-43;-43;-28;-28;-43;-50
1691472103511;(08/08/2023)_12/21/43;-50;-43;-42;-29;-29;-43;-48
1691472115516;(08/08/2023)_12/21/55;-50;-40;-44;-29;-28;-42;-50
1691472117513;(08/08/2023)_12/21/57;-50;-45;-43;-28;-28;-43;-50
1691472121537;(08/08/2023)_12/22/01;-50;-44;-44;-28;-28;-43;-50
1691472129613;(08/08/2023)_12/22/09;-49;-44;-44;-28;-28;-43;-50
1691472131675;(08/08/2023)_12/22/11;-50;-44;-44;-28;-27;-42;-50
1691472135646;(08/08/2023)_12/22/15;-50;-44;-43;-28;-29;-43;-49
1691472157695;(08/08/2023)_12/22/37;-50;-44;-43;-28;-28;-43;-48
1691472159724;(08/08/2023)_12/22/39;-50;-43;-44;-28;-29;-42;-51
1691472169669;(08/08/2023)_12/22/49;-50;-43;-43;-28;-28;-41;-48
1691472171800;(08/08/2023)_12/22/51;-50;-44;-43;-28;-29;-42;-48
1691472173757;(08/08/2023)_12/22/53;-51;-42;-44;-28;-28;-43;-51
1691472179808;(08/08/2023)_12/22/59;-49;-45;-43;-28;-28;-44;-50
1691472183758;(08/08/2023)_12/23/03;-52;-47;-43;-28;-29;-44;-50
1691472195765;(08/08/2023)_12/23/15;-46;-42;-43;-29;-31;-40;-46
1691472197820;(08/08/2023)_12/23/17;-48;-42;-44;-29;-29;-44;-46
1691472203786;(08/08/2023)_12/23/23;-48;-42;-43;-29;-28;-42;-48
1691472213728;(08/08/2023)_12/23/33;-48;-45;-44;-28;-30;-43;-49
1691472217699;(08/08/2023)_12/23/37;-48;-42;-48;-28;-28;-42;-51
1691472219734;(08/08/2023)_12/23/39;-49;-42;-44;-28;-28;-43;-50
1691472221777;(08/08/2023)_12/23/41;-53;-44;-43;-28;-28;-43;-50
1691472223819;(08/08/2023)_12/23/43;-51;-42;-43;-28;-28;-43;-50
1691472225766;(08/08/2023)_12/23/45;-50;-43;-43;-28;-28;-44;-48
1691472227816;(08/08/2023)_12/23/47;-50;-44;-43;-28;-28;-40;-50
1691472229863;(08/08/2023)_12/23/49;-50;-45;-43;-28;-29;-43;-50
1691472233850;(08/08/2023)_12/23/53;-50;-45;-43;-28;-28;-44;-48
1691472239898;(08/08/2023)_12/23/59;-50;-45;-42;-28;-28;-43;-48
1691472243873;(08/08/2023)_12/24/03;-50;-45;-43;-28;-28;-40;-49
1691472245864;(08/08/2023)_12/24/05;-50;-45;-43;-28;-29;-40;-48
1691472247843;(08/08/2023)_12/24/07;-45;-45;-44;-28;-29;-40;-51
1691472249831;(08/08/2023)_12/24/09;-50;-45;-43;-29;-28;-43;-50
1691472251925;(08/08/2023)_12/24/11;-50;-45;-43;-28;-28;-42;-49
1691472253825;(08/08/2023)_12/24/13;-50;-45;-43;-28;-29;-42;-50
1691472255878;(08/08/2023)_12/24/15;-50;-46;-44;-28;-29;-44;-51
1691472257895;(08/08/2023)_12/24/17;-50;-44;-43;-28;-28;-44;-50
1691472259977;(08/08/2023)_12/24/19;-50;-45;-43;-28;-28;-42;-48
1691472261837;(08/08/2023)_12/24/21;-50;-45;-44;-28;-29;-43;-51
1691472265819;(08/08/2023)_12/24/25;-50;-45;-44;-28;-29;-43;-50
1691472267879;(08/08/2023)_12/24/27;-51;-45;-43;-28;-28;-42;-51
1691472269799;(08/08/2023)_12/24/29;-50;-44;-43;-28;-29;-42;-50
1691472271833;(08/08/2023)_12/24/31;-50;-45;-43;-28;-29;-44;-50
1691472273810;(08/08/2023)_12/24/33;-50;-43;-44;-28;-28;-43;-50
1691472275924;(08/08/2023)_12/24/35;-51;-44;-43;-29;-29;-43;-50
1691472277958;(08/08/2023)_12/24/37;-50;-45;-43;-28;-28;-43;-51
1691472279927;(08/08/2023)_12/24/39;-50;-44;-42;-29;-28;-43;-49
1691472281888;(08/08/2023)_12/24/41;-51;-43;-44;-28;-29;-42;-50
1691472283929;(08/08/2023)_12/24/43;-50;-44;-42;-28;-28;-44;-47
1691472285920;(08/08/2023)_12/24/45;-50;-40;-43;-28;-28;-44;-50
1691472287814;(08/08/2023)_12/24/47;-50;-43;-43;-28;-28;-43;-48
1691472289886;(08/08/2023)_12/24/49;-51;-44;-44;-28;-28;-43;-49
1691472291906;(08/08/2023)_12/24/51;-51;-44;-43;-28;-27;-44;-49
1691472293864;(08/08/2023)_12/24/53;-50;-45;-43;-28;-28;-44;-50
1691472295793;(08/08/2023)_12/24/55;-51;-44;-43;-29;-28;-43;-48
1691472297872;(08/08/2023)_12/24/57;-51;-44;-43;-28;-28;-49;-49
1691472300008;(08/08/2023)_12/25/00;-51;-43;-44;-28;-28;-43;-49
1691472301954;(08/08/2023)_12/25/01;-50;-45;-43;-27;-28;-43;-50
1691472305923;(08/08/2023)_12/25/05;-50;-44;-43;-28;-29;-44;-48
1691472307908;(08/08/2023)_12/25/07;-50;-45;-43;-29;-28;-43;-48
1691472309874;(08/08/2023)_12/25/09;-50;-45;-44;-28;-29;-44;-50
1691472311897;(08/08/2023)_12/25/11;-51;-45;-43;-28;-29;-43;-49
1691472313832;(08/08/2023)_12/25/13;-50;-43;-43;-28;-28;-42;-50
1691472315963;(08/08/2023)_12/25/15;-51;-43;-43;-28;-29;-43;-51
1691472319970;(08/08/2023)_12/25/19;-51;-44;-44;-28;-29;-44;-48
1691472321918;(08/08/2023)_12/25/21;-50;-44;-44;-28;-28;-43;-49
1691472323843;(08/08/2023)_12/25/23;-50;-43;-43;-28;-28;-41;-49
1691472325923;(08/08/2023)_12/25/25;-49;-44;-43;-28;-27;-44;-50
1691472327861;(08/08/2023)_12/25/27;-49;-43;-43;-29;-28;-41;-50
1691472329936;(08/08/2023)_12/25/29;-49;-43;-44;-28;-28;-43;-51
1691472333920;(08/08/2023)_12/25/33;-50;-43;-43;-28;-28;-43;-50
1691472337913;(08/08/2023)_12/25/37;-50;-45;-43;-28;-28;-42;-50
1691472339936;(08/08/2023)_12/25/39;-50;-44;-44;-29;-29;-42;-47
1691472341989;(08/08/2023)_12/25/41;-49;-44;-43;-28;-28;-43;-48
1691472343961;(08/08/2023)_12/25/43;-50;-45;-43;-28;-29;-44;-51
1691472345986;(08/08/2023)_12/25/45;-49;-44;-43;-28;-28;-42;-50
1691472347931;(08/08/2023)_12/25/47;-50;-44;-43;-29;-28;-43;-51
1691472349981;(08/08/2023)_12/25/49;-49;-45;-44;-29;-29;-44;-48
1691472353983;(08/08/2023)_12/25/53;-50;-44;-43;-28;-28;-43;-50
1691472355938;(08/08/2023)_12/25/55;-50;-44;-43;-29;-29;-42;-49
1691472357999;(08/08/2023)_12/25/57;-50;-45;-43;-28;-28;-44;-49
1691472359932;(08/08/2023)_12/25/59;-50;-44;-43;-28;-29;-44;-50
1691472361966;(08/08/2023)_12/26/01;-50;-44;-43;-28;-27;-44;-48
1691472368010;(08/08/2023)_12/26/08;-50;-44;-43;-28;-28;-42;-49
1691472369970;(08/08/2023)_12/26/09;-52;-45;-43;-28;-28;-44;-51
1691472372008;(08/08/2023)_12/26/12;-50;-44;-43;-28;-28;-43;-47
1691472375998;(08/08/2023)_12/26/15;-50;-44;-42;-28;-29;-44;-47
1691472379990;(08/08/2023)_12/26/19;-49;-44;-46;-28;-28;-43;-50
1691472382016;(08/08/2023)_12/26/22;-50;-46;-43;-28;-29;-45;-52
1691472384071;(08/08/2023)_12/26/24;-48;-42;-44;-29;-27;-43;-45
1691472386091;(08/08/2023)_12/26/26;-48;-46;-43;-27;-28;-42;-47
1691472387973;(08/08/2023)_12/26/27;-48;-42;-44;-27;-27;-45;-49
1691472390038;(08/08/2023)_12/26/30;-47;-45;-44;-28;-29;-44;-48
1691472392065;(08/08/2023)_12/26/32;-48;-45;-45;-27;-28;-44;-48
